Timestamp,EventID,EventName,Section,Row,Seats,Qty,TotalPrice,ListPrice,FaceValue,Currency,TotalFees,Type,SellerNotes,OfferID,ListingID
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","317","7","13-16","4","124.12","103","103","CAD","21.12","resale","","GN6DCMBRGE3DMMJSHAYXYMJXGY2GKZBVMRSDK","1011661281"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","321","15","17-25","9","178.34","148","148","CAD","30.34","resale","","GN6DCMBRGE3DMMJSHE3XYMJXGY2GKYZVGMYTK","1011661297"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","121","16","5-6","2","344.63","286","286","CAD","58.63","resale","","GN6DCMBRGE4DKNBVGY2HYMJXGY3GIYZQMEYDK","1011854564"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","113","11","15-16","2","301.25","250","250","CAD","51.25","resale","","GN6DCMBRGIYDINBTGIYHYMJXGY3DSOBXG5STK","1012044320"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","117","23","3-4","2","349.45","290","290","CAD","59.45","resale","","GN6DCMBRGM2DKMZWHA2XYMJWMRSTEMBYMY3TK","1013453685"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","310","13","17-18","2","155.45","129","129","CAD","26.45","resale","","GN6DCMBRGM3DGMRZGQZXYMJXGYZTKMZUMQ2TK","1013632943"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","112","17","15-16","2","368.73","306","306","CAD","62.73","resale","","GN6DCMBRGM3TMNZWGA2HYMJWMRSWCZTBHE3TK","1013767604"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","323","7","1-2","2","198.83","165","165","CAD","33.83","resale","","GN6DCMBRGQ2TOOBSGQ3HYMJXGQ4WKNTGGQ3DK","1014578246"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","309","5","16-17","2","512.13","425","425","CAD","87.13","resale","","GN6DCMBRGU3TKNJQGYZXYMJWMRSTGMTFMEYTK","1015755063"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","105","26","1-2","2","541.05","449","449","CAD","92.05","resale","","GN6DCMBRGY3DMMRRGAYHYMJXGYYWGOJTGA3DK","1016662100"
